GENESIS-Tabelle: 81000-0002
National accounts - Gross value added, gross domestic;;;;;;;;;;;
product (nominal/price-adjusted): Germany, quarters,;;;;;;;;;;;
original and adjusted data;;;;;;;;;;;
National accounts of the Federation;;;;;;;;;;;
Germany;;;;;;;;;;;
;;;;2021;2021;2021;2021;2022;2022;2022;2022
;;;;Quarter 1;Quarter 2;Quarter 3;Quarter 4;Quarter 1;Quarter 2;Quarter 3;Quarter 4
BV4.1 calendar and seasonally adjusted;At current prices (bn EUR);Gross value added;unit app.;792.431;810.251;823.711;827.136;847.276;867.042;...;...
BV4.1 calendar and seasonally adjusted;At current prices (bn EUR);Taxes on products less subsidies;unit app.;79.513;80.358;87.808;95.066;97.094;91.677;...;...
BV4.1 calendar and seasonally adjusted;At current prices (bn EUR);     Taxes on products;unit app.;-;-;-;-;-;-;-;-
BV4.1 calendar and seasonally adjusted;At current prices (bn EUR);     Subsidies on products;unit app.;-;-;-;-;-;-;-;-
BV4.1 calendar and seasonally adjusted;At current prices (bn EUR);Gross domestic product;unit app.;871.944;890.609;911.519;922.202;944.370;958.719;...;...
BV4.1 calendar and seasonally adjusted;At current prices (bn EUR);Mem. item: Gross domestic product (change in %);percent;0.5;2.1;2.3;1.2;2.4;1.5;...;...
BV4.1 calendar and seasonally adjusted;At current prices (bn EUR);Mem. item: Gross domestic product per inhabitant;unit app.;10486.000;10707.000;10955.000;11078.000;11335.000;11435.000;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);Gross value added;unit app.;104.070;105.460;106.410;105.570;107.500;107.470;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);Taxes on products less subsidies;unit app.;107.970;106.820;106.430;111.900;112.130;107.890;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);     Taxes on products;unit app.;-;-;-;-;-;-;-;-
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);     Subsidies on products;unit app.;-;-;-;-;-;-;-;-
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);Gross domestic product;unit app.;104.450;105.610;106.440;106.170;107.950;107.530;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);Mem. item: Gross domestic product (change in %);percent;-0.6;1.1;0.8;-0.3;1.7;-0.4;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);Mem. item: Gross domestic product per inhabitant;unit app.;102.600;103.710;104.500;104.180;105.830;104.760;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);Gross value added;unit app.;-;-;-;-;-;-;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);Taxes on products less subsidies;unit app.;-;-;-;-;-;-;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);     Taxes on products;unit app.;-;-;-;-;-;-;-;-
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);     Subsidies on products;unit app.;-;-;-;-;-;-;-;-
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);Gross domestic product;unit app.;-;-;-;-;-;-;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);Mem. item: Gross domestic product (change in %);percent;-;-;-;-;-;-;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);Mem. item: Gross domestic product per inhabitant;unit app.;-;-;-;-;-;-;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);Gross value added;unit app.;-;-;-;-;-;-;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);Taxes on products less subsidies;unit app.;-;-;-;-;-;-;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);     Taxes on products;unit app.;-;-;-;-;-;-;-;-
BV4.1 calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);     Subsidies on products;unit app.;-;-;-;-;-;-;-;-
BV4.1 calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);Gross domestic product;unit app.;-;-;-;-;-;-;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);Mem. item: Gross domestic product (change in %);percent;-;-;-;-;-;-;...;...
BV4.1 calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);Mem. item: Gross domestic product per inhabitant;unit app.;-;-;-;-;-;-;...;...
__________
"unit app. = unit as applicable, i.e.
- the unit ""billion EUR"" does apply for ""At current prices""
- the unit ""2015=100"" does apply for ""Price-adjusted, chain
  index"".

Gross domestic product per inhabitant:
The unit ""EUR"" does apply for ""At current prices"".

Gross domestic product (change in %):
- Non-adjusted values:
  Change on previous year's quarter in %.
- X13 JDemetra+ / BV4.1 calendar- and seasonally adjusted
  values:
  Change on previous quarter in %."
© Federal Statistical Office, Wiesbaden 2022
created: 2022-10-03 / 16:55:00
