date,GDP(Quarterly)
16.03.18,823520
17.03.18,823520
18.03.18,823520
19.03.18,823520
20.03.18,823520
21.03.18,823520
22.03.18,823520
23.03.18,823520
24.03.18,823520
25.03.18,823520
26.03.18,823520
27.03.18,823520
28.03.18,823520
29.03.18,823520
30.03.18,823520
31.03.18,823520
01.04.18,833550
02.04.18,833550
03.04.18,833550
04.04.18,833550
05.04.18,833550
06.04.18,833550
07.04.18,833550
08.04.18,833550
09.04.18,833550
10.04.18,833550
11.04.18,833550
12.04.18,833550
13.04.18,833550
14.04.18,833550
15.04.18,833550
16.04.18,833550
17.04.18,833550
18.04.18,833550
19.04.18,833550
20.04.18,833550
21.04.18,833550
22.04.18,833550
23.04.18,833550
24.04.18,833550
25.04.18,833550
26.04.18,833550
27.04.18,833550
28.04.18,833550
29.04.18,833550
30.04.18,833550
01.05.18,833550
02.05.18,833550
03.05.18,833550
04.05.18,833550
05.05.18,833550
06.05.18,833550
07.05.18,833550
08.05.18,833550
09.05.18,833550
10.05.18,833550
11.05.18,833550
12.05.18,833550
13.05.18,833550
14.05.18,833550
15.05.18,833550
16.05.18,833550
17.05.18,833550
18.05.18,833550
19.05.18,833550
20.05.18,833550
21.05.18,833550
22.05.18,833550
23.05.18,833550
24.05.18,833550
25.05.18,833550
26.05.18,833550
27.05.18,833550
28.05.18,833550
29.05.18,833550
30.05.18,833550
31.05.18,833550
01.06.18,833550
02.06.18,833550
03.06.18,833550
04.06.18,833550
05.06.18,833550
06.06.18,833550
07.06.18,833550
08.06.18,833550
09.06.18,833550
10.06.18,833550
11.06.18,833550
12.06.18,833550
13.06.18,833550
14.06.18,833550
15.06.18,833550
16.06.18,833550
17.06.18,833550
18.06.18,833550
19.06.18,833550
20.06.18,833550
21.06.18,833550
22.06.18,833550
23.06.18,833550
24.06.18,833550
25.06.18,833550
26.06.18,833550
27.06.18,833550
28.06.18,833550
29.06.18,833550
30.06.18,833550
01.07.18,842260
02.07.18,842260
03.07.18,842260
04.07.18,842260
05.07.18,842260
06.07.18,842260
07.07.18,842260
08.07.18,842260
09.07.18,842260
10.07.18,842260
11.07.18,842260
12.07.18,842260
13.07.18,842260
14.07.18,842260
15.07.18,842260
16.07.18,842260
17.07.18,842260
18.07.18,842260
19.07.18,842260
20.07.18,842260
21.07.18,842260
22.07.18,842260
23.07.18,842260
24.07.18,842260
25.07.18,842260
26.07.18,842260
27.07.18,842260
28.07.18,842260
29.07.18,842260
30.07.18,842260
31.07.18,842260
01.08.18,842260
02.08.18,842260
03.08.18,842260
04.08.18,842260
05.08.18,842260
06.08.18,842260
07.08.18,842260
08.08.18,842260
09.08.18,842260
10.08.18,842260
11.08.18,842260
12.08.18,842260
13.08.18,842260
14.08.18,842260
15.08.18,842260
16.08.18,842260
17.08.18,842260
18.08.18,842260
19.08.18,842260
20.08.18,842260
21.08.18,842260
22.08.18,842260
23.08.18,842260
24.08.18,842260
25.08.18,842260
26.08.18,842260
27.08.18,842260
28.08.18,842260
29.08.18,842260
30.08.18,842260
31.08.18,842260
01.09.18,842260
02.09.18,842260
03.09.18,842260
04.09.18,842260
05.09.18,842260
06.09.18,842260
07.09.18,842260
08.09.18,842260
09.09.18,842260
10.09.18,842260
11.09.18,842260
12.09.18,842260
13.09.18,842260
14.09.18,842260
15.09.18,842260
16.09.18,842260
17.09.18,842260
18.09.18,842260
19.09.18,842260
20.09.18,842260
21.09.18,842260
22.09.18,842260
23.09.18,842260
24.09.18,842260
25.09.18,842260
26.09.18,842260
27.09.18,842260
28.09.18,842260
29.09.18,842260
30.09.18,842260
01.10.18,866120
02.10.18,866120
03.10.18,866120
04.10.18,866120
05.10.18,866120
06.10.18,866120
07.10.18,866120
08.10.18,866120
09.10.18,866120
10.10.18,866120
11.10.18,866120
12.10.18,866120
13.10.18,866120
14.10.18,866120
15.10.18,866120
16.10.18,866120
17.10.18,866120
18.10.18,866120
19.10.18,866120
20.10.18,866120
21.10.18,866120
22.10.18,866120
23.10.18,866120
24.10.18,866120
25.10.18,866120
26.10.18,866120
27.10.18,866120
28.10.18,866120
29.10.18,866120
30.10.18,866120
31.10.18,866120
01.11.18,866120
02.11.18,866120
03.11.18,866120
04.11.18,866120
05.11.18,866120
06.11.18,866120
07.11.18,866120
08.11.18,866120
09.11.18,866120
10.11.18,866120
11.11.18,866120
12.11.18,866120
13.11.18,866120
14.11.18,866120
15.11.18,866120
16.11.18,866120
17.11.18,866120
18.11.18,866120
19.11.18,866120
20.11.18,866120
21.11.18,866120
22.11.18,866120
23.11.18,866120
24.11.18,866120
25.11.18,866120
26.11.18,866120
27.11.18,866120
28.11.18,866120
29.11.18,866120
30.11.18,866120
01.12.18,866120
02.12.18,866120
03.12.18,866120
04.12.18,866120
05.12.18,866120
06.12.18,866120
07.12.18,866120
08.12.18,866120
09.12.18,866120
10.12.18,866120
11.12.18,866120
12.12.18,866120
13.12.18,866120
14.12.18,866120
15.12.18,866120
16.12.18,866120
17.12.18,866120
18.12.18,866120
19.12.18,866120
20.12.18,866120
21.12.18,866120
22.12.18,866120
23.12.18,866120
24.12.18,866120
25.12.18,866120
26.12.18,866120
27.12.18,866120
28.12.18,866120
29.12.18,866120
30.12.18,866120
31.12.18,866120
01.01.19,851580
02.01.19,851580
03.01.19,851580
04.01.19,851580
05.01.19,851580
06.01.19,851580
07.01.19,851580
08.01.19,851580
09.01.19,851580
10.01.19,851580
11.01.19,851580
12.01.19,851580
13.01.19,851580
14.01.19,851580
15.01.19,851580
16.01.19,851580
17.01.19,851580
18.01.19,851580
19.01.19,851580
20.01.19,851580
21.01.19,851580
22.01.19,851580
23.01.19,851580
24.01.19,851580
25.01.19,851580
26.01.19,851580
27.01.19,851580
28.01.19,851580
29.01.19,851580
30.01.19,851580
31.01.19,851580
01.02.19,851580
02.02.19,851580
03.02.19,851580
04.02.19,851580
05.02.19,851580
06.02.19,851580
07.02.19,851580
08.02.19,851580
09.02.19,851580
10.02.19,851580
11.02.19,851580
12.02.19,851580
13.02.19,851580
14.02.19,851580
15.02.19,851580
16.02.19,851580
17.02.19,851580
18.02.19,851580
19.02.19,851580
20.02.19,851580
21.02.19,851580
22.02.19,851580
23.02.19,851580
24.02.19,851580
25.02.19,851580
26.02.19,851580
27.02.19,851580
28.02.19,851580
01.03.19,851580
02.03.19,851580
03.03.19,851580
04.03.19,851580
05.03.19,851580
06.03.19,851580
07.03.19,851580
08.03.19,851580
09.03.19,851580
10.03.19,851580
11.03.19,851580
12.03.19,851580
13.03.19,851580
14.03.19,851580
15.03.19,851580
16.03.19,851580
17.03.19,851580
18.03.19,851580
19.03.19,851580
20.03.19,851580
21.03.19,851580
22.03.19,851580
23.03.19,851580
24.03.19,851580
25.03.19,851580
26.03.19,851580
27.03.19,851580
28.03.19,851580
29.03.19,851580
30.03.19,851580
31.03.19,851580
01.04.19,852840
02.04.19,852840
03.04.19,852840
04.04.19,852840
05.04.19,852840
06.04.19,852840
07.04.19,852840
08.04.19,852840
09.04.19,852840
10.04.19,852840
11.04.19,852840
12.04.19,852840
13.04.19,852840
14.04.19,852840
15.04.19,852840
16.04.19,852840
17.04.19,852840
18.04.19,852840
19.04.19,852840
20.04.19,852840
21.04.19,852840
22.04.19,852840
23.04.19,852840
24.04.19,852840
25.04.19,852840
26.04.19,852840
27.04.19,852840
28.04.19,852840
29.04.19,852840
30.04.19,852840
01.05.19,852840
02.05.19,852840
03.05.19,852840
04.05.19,852840
05.05.19,852840
06.05.19,852840
07.05.19,852840
08.05.19,852840
09.05.19,852840
10.05.19,852840
11.05.19,852840
12.05.19,852840
13.05.19,852840
14.05.19,852840
15.05.19,852840
16.05.19,852840
17.05.19,852840
18.05.19,852840
19.05.19,852840
20.05.19,852840
21.05.19,852840
22.05.19,852840
23.05.19,852840
24.05.19,852840
25.05.19,852840
26.05.19,852840
27.05.19,852840
28.05.19,852840
29.05.19,852840
30.05.19,852840
31.05.19,852840
01.06.19,852840
02.06.19,852840
03.06.19,852840
04.06.19,852840
05.06.19,852840
06.06.19,852840
07.06.19,852840
08.06.19,852840
09.06.19,852840
10.06.19,852840
11.06.19,852840
12.06.19,852840
13.06.19,852840
14.06.19,852840
15.06.19,852840
16.06.19,852840
17.06.19,852840
18.06.19,852840
19.06.19,852840
20.06.19,852840
21.06.19,852840
22.06.19,852840
23.06.19,852840
24.06.19,852840
25.06.19,852840
26.06.19,852840
27.06.19,852840
28.06.19,852840
29.06.19,852840
30.06.19,852840
01.07.19,877650
02.07.19,877650
03.07.19,877650
04.07.19,877650
05.07.19,877650
06.07.19,877650
07.07.19,877650
08.07.19,877650
09.07.19,877650
10.07.19,877650
11.07.19,877650
12.07.19,877650
13.07.19,877650
14.07.19,877650
15.07.19,877650
16.07.19,877650
17.07.19,877650
18.07.19,877650
19.07.19,877650
20.07.19,877650
21.07.19,877650
22.07.19,877650
23.07.19,877650
24.07.19,877650
25.07.19,877650
26.07.19,877650
27.07.19,877650
28.07.19,877650
29.07.19,877650
30.07.19,877650
31.07.19,877650
01.08.19,877650
02.08.19,877650
03.08.19,877650
04.08.19,877650
05.08.19,877650
06.08.19,877650
07.08.19,877650
08.08.19,877650
09.08.19,877650
10.08.19,877650
11.08.19,877650
12.08.19,877650
13.08.19,877650
14.08.19,877650
15.08.19,877650
16.08.19,877650
17.08.19,877650
18.08.19,877650
19.08.19,877650
20.08.19,877650
21.08.19,877650
22.08.19,877650
23.08.19,877650
24.08.19,877650
25.08.19,877650
26.08.19,877650
27.08.19,877650
28.08.19,877650
29.08.19,877650
30.08.19,877650
31.08.19,877650
01.09.19,877650
02.09.19,877650
03.09.19,877650
04.09.19,877650
05.09.19,877650
06.09.19,877650
07.09.19,877650
08.09.19,877650
09.09.19,877650
10.09.19,877650
11.09.19,877650
12.09.19,877650
13.09.19,877650
14.09.19,877650
15.09.19,877650
16.09.19,877650
17.09.19,877650
18.09.19,877650
19.09.19,877650
20.09.19,877650
21.09.19,877650
22.09.19,877650
23.09.19,877650
24.09.19,877650
25.09.19,877650
26.09.19,877650
27.09.19,877650
28.09.19,877650
29.09.19,877650
30.09.19,877650
01.10.19,891190
02.10.19,891190
03.10.19,891190
04.10.19,891190
05.10.19,891190
06.10.19,891190
07.10.19,891190
08.10.19,891190
09.10.19,891190
10.10.19,891190
11.10.19,891190
12.10.19,891190
13.10.19,891190
14.10.19,891190
15.10.19,891190
16.10.19,891190
17.10.19,891190
18.10.19,891190
19.10.19,891190
20.10.19,891190
21.10.19,891190
22.10.19,891190
23.10.19,891190
24.10.19,891190
25.10.19,891190
26.10.19,891190
27.10.19,891190
28.10.19,891190
29.10.19,891190
30.10.19,891190
31.10.19,891190
01.11.19,891190
02.11.19,891190
03.11.19,891190
04.11.19,891190
05.11.19,891190
06.11.19,891190
07.11.19,891190
08.11.19,891190
09.11.19,891190
10.11.19,891190
11.11.19,891190
12.11.19,891190
13.11.19,891190
14.11.19,891190
15.11.19,891190
16.11.19,891190
17.11.19,891190
18.11.19,891190
19.11.19,891190
20.11.19,891190
21.11.19,891190
22.11.19,891190
23.11.19,891190
24.11.19,891190
25.11.19,891190
26.11.19,891190
27.11.19,891190
28.11.19,891190
29.11.19,891190
30.11.19,891190
01.12.19,891190
02.12.19,891190
03.12.19,891190
04.12.19,891190
05.12.19,891190
06.12.19,891190
07.12.19,891190
08.12.19,891190
09.12.19,891190
10.12.19,891190
11.12.19,891190
12.12.19,891190
13.12.19,891190
14.12.19,891190
15.12.19,891190
16.12.19,891190
17.12.19,891190
18.12.19,891190
19.12.19,891190
20.12.19,891190
21.12.19,891190
22.12.19,891190
23.12.19,891190
24.12.19,891190
25.12.19,891190
26.12.19,891190
27.12.19,891190
28.12.19,891190
29.12.19,891190
30.12.19,891190
31.12.19,891190
01.01.20,866910
02.01.20,866910
03.01.20,866910
04.01.20,866910
05.01.20,866910
06.01.20,866910
07.01.20,866910
08.01.20,866910
09.01.20,866910
10.01.20,866910
11.01.20,866910
12.01.20,866910
13.01.20,866910
14.01.20,866910
15.01.20,866910
16.01.20,866910
17.01.20,866910
18.01.20,866910
19.01.20,866910
20.01.20,866910
21.01.20,866910
22.01.20,866910
23.01.20,866910
24.01.20,866910
25.01.20,866910
26.01.20,866910
27.01.20,866910
28.01.20,866910
29.01.20,866910
30.01.20,866910
31.01.20,866910
01.02.20,866910
02.02.20,866910
03.02.20,866910
04.02.20,866910
05.02.20,866910
06.02.20,866910
07.02.20,866910
08.02.20,866910
09.02.20,866910
10.02.20,866910
11.02.20,866910
12.02.20,866910
13.02.20,866910
14.02.20,866910
15.02.20,866910
16.02.20,866910
17.02.20,866910
18.02.20,866910
19.02.20,866910
20.02.20,866910
21.02.20,866910
22.02.20,866910
23.02.20,866910
24.02.20,866910
25.02.20,866910
26.02.20,866910
27.02.20,866910
28.02.20,866910
29.02.20,866910
01.03.20,866910
02.03.20,866910
03.03.20,866910
04.03.20,866910
05.03.20,866910
06.03.20,866910
07.03.20,866910
08.03.20,866910
09.03.20,866910
10.03.20,866910
11.03.20,866910
12.03.20,866910
13.03.20,866910
14.03.20,866910
15.03.20,866910
16.03.20,866910
17.03.20,866910
18.03.20,866910
19.03.20,866910
20.03.20,866910
21.03.20,866910
22.03.20,866910
23.03.20,866910
24.03.20,866910
25.03.20,866910
26.03.20,866910
27.03.20,866910
28.03.20,866910
29.03.20,866910
30.03.20,866910
31.03.20,866910
01.04.20,787350
02.04.20,787350
03.04.20,787350
04.04.20,787350
05.04.20,787350
06.04.20,787350
07.04.20,787350
08.04.20,787350
09.04.20,787350
10.04.20,787350
11.04.20,787350
12.04.20,787350
13.04.20,787350
14.04.20,787350
15.04.20,787350
16.04.20,787350
17.04.20,787350
18.04.20,787350
19.04.20,787350
20.04.20,787350
21.04.20,787350
22.04.20,787350
23.04.20,787350
24.04.20,787350
25.04.20,787350
26.04.20,787350
27.04.20,787350
28.04.20,787350
29.04.20,787350
30.04.20,787350
01.05.20,787350
02.05.20,787350
03.05.20,787350
04.05.20,787350
05.05.20,787350
06.05.20,787350
07.05.20,787350
08.05.20,787350
09.05.20,787350
10.05.20,787350
11.05.20,787350
12.05.20,787350
13.05.20,787350
14.05.20,787350
15.05.20,787350
16.05.20,787350
17.05.20,787350
18.05.20,787350
19.05.20,787350
20.05.20,787350
21.05.20,787350
22.05.20,787350
23.05.20,787350
24.05.20,787350
25.05.20,787350
26.05.20,787350
27.05.20,787350
28.05.20,787350
29.05.20,787350
30.05.20,787350
31.05.20,787350
01.06.20,787350
02.06.20,787350
03.06.20,787350
04.06.20,787350
05.06.20,787350
06.06.20,787350
07.06.20,787350
08.06.20,787350
09.06.20,787350
10.06.20,787350
11.06.20,787350
12.06.20,787350
13.06.20,787350
14.06.20,787350
15.06.20,787350
16.06.20,787350
17.06.20,787350
18.06.20,787350
19.06.20,787350
20.06.20,787350
21.06.20,787350
22.06.20,787350
23.06.20,787350
24.06.20,787350
25.06.20,787350
26.06.20,787350
27.06.20,787350
28.06.20,787350
29.06.20,787350
30.06.20,787350
01.07.20,861590
02.07.20,861590
03.07.20,861590
04.07.20,861590
05.07.20,861590
06.07.20,861590
07.07.20,861590
08.07.20,861590
09.07.20,861590
10.07.20,861590
11.07.20,861590
12.07.20,861590
13.07.20,861590
14.07.20,861590
15.07.20,861590
16.07.20,861590
17.07.20,861590
18.07.20,861590
19.07.20,861590
20.07.20,861590
21.07.20,861590
22.07.20,861590
23.07.20,861590
24.07.20,861590
25.07.20,861590
26.07.20,861590
27.07.20,861590
28.07.20,861590
29.07.20,861590
30.07.20,861590
31.07.20,861590
01.08.20,861590
02.08.20,861590
03.08.20,861590
04.08.20,861590
05.08.20,861590
06.08.20,861590
07.08.20,861590
08.08.20,861590
09.08.20,861590
10.08.20,861590
11.08.20,861590
12.08.20,861590
13.08.20,861590
14.08.20,861590
15.08.20,861590
16.08.20,861590
17.08.20,861590
18.08.20,861590
19.08.20,861590
20.08.20,861590
21.08.20,861590
22.08.20,861590
23.08.20,861590
24.08.20,861590
25.08.20,861590
26.08.20,861590
27.08.20,861590
28.08.20,861590
29.08.20,861590
30.08.20,861590
31.08.20,861590
01.09.20,861590
02.09.20,861590
03.09.20,861590
04.09.20,861590
05.09.20,861590
06.09.20,861590
07.09.20,861590
08.09.20,861590
09.09.20,861590
10.09.20,861590
11.09.20,861590
12.09.20,861590
13.09.20,861590
14.09.20,861590
15.09.20,861590
16.09.20,861590
17.09.20,861590
18.09.20,861590
19.09.20,861590
20.09.20,861590
21.09.20,861590
22.09.20,861590
23.09.20,861590
24.09.20,861590
25.09.20,861590
26.09.20,861590
27.09.20,861590
28.09.20,861590
29.09.20,861590
30.09.20,861590
01.10.20,889580
02.10.20,889580
03.10.20,889580
04.10.20,889580
05.10.20,889580
06.10.20,889580
07.10.20,889580
08.10.20,889580
09.10.20,889580
10.10.20,889580
11.10.20,889580
12.10.20,889580
13.10.20,889580
14.10.20,889580
15.10.20,889580
16.10.20,889580
17.10.20,889580
18.10.20,889580
19.10.20,889580
20.10.20,889580
21.10.20,889580
22.10.20,889580
23.10.20,889580
24.10.20,889580
25.10.20,889580
26.10.20,889580
27.10.20,889580
28.10.20,889580
29.10.20,889580
30.10.20,889580
31.10.20,889580
01.11.20,889580
02.11.20,889580
03.11.20,889580
04.11.20,889580
05.11.20,889580
06.11.20,889580
07.11.20,889580
08.11.20,889580
09.11.20,889580
10.11.20,889580
11.11.20,889580
12.11.20,889580
13.11.20,889580
14.11.20,889580
15.11.20,889580
16.11.20,889580
17.11.20,889580
18.11.20,889580
19.11.20,889580
20.11.20,889580
21.11.20,889580
22.11.20,889580
23.11.20,889580
24.11.20,889580
25.11.20,889580
26.11.20,889580
27.11.20,889580
28.11.20,889580
29.11.20,889580
30.11.20,889580
01.12.20,889580
02.12.20,889580
03.12.20,889580
04.12.20,889580
05.12.20,889580
06.12.20,889580
07.12.20,889580
08.12.20,889580
09.12.20,889580
10.12.20,889580
11.12.20,889580
12.12.20,889580
13.12.20,889580
14.12.20,889580
15.12.20,889580
16.12.20,889580
17.12.20,889580
18.12.20,889580
19.12.20,889580
20.12.20,889580
21.12.20,889580
22.12.20,889580
23.12.20,889580
24.12.20,889580
25.12.20,889580
26.12.20,889580
27.12.20,889580
28.12.20,889580
29.12.20,889580
