y____lag7,y____lag6,y____lag5,y____lag4,y____lag3,y____lag2,y____lag1,y,date
3007385094,3007385094,3007385094,3007385094,3007385094,3007385094,3007385094,3025763115,2018-02-07
3025763115,3025763115,3025763115,3025763115,3025763115,3025763115,3025763115,3047075722,2018-02-08
3047075722,3047075722,3047075722,3047075722,3047075722,3047075722,3047075722,2876363137,2018-02-09
2876363137,2876363137,2876363137,2876363137,2876363137,2876363137,2876363137,2548585065,2018-02-10
2548585065,2548585065,2548585065,2548585065,2548585065,2548585065,2548585065,2429255936,2018-02-11
2429255936,2429255936,2429255936,2429255936,2429255936,2429255936,2429255936,2673839419,2018-02-12
2673839419,2673839419,2673839419,2673839419,2673839419,2673839419,2673839419,2789346099,2018-02-13
2789346099,2789346099,2789346099,2789346099,2789346099,2789346099,2789346099,2805685418,2018-02-14
2805685418,2805685418,2805685418,2805685418,2805685418,2805685418,2805685418,2685059002,2018-02-15
2685059002,2685059002,2685059002,2685059002,2685059002,2685059002,2685059002,2544634859,2018-02-16
2544634859,2544634859,2544634859,2544634859,2544634859,2544634859,2544634859,2446978790,2018-02-17
2446978790,2446978790,2446978790,2446978790,2446978790,2446978790,2446978790,2493630846,2018-02-18
2493630846,2493630846,2493630846,2493630846,2493630846,2493630846,2493630846,2832991185,2018-02-19
2832991185,2832991185,2832991185,2832991185,2832991185,2832991185,2832991185,2857024500,2018-02-20
2857024500,2857024500,2857024500,2857024500,2857024500,2857024500,2857024500,2862067599,2018-02-21
2862067599,2862067599,2862067599,2862067599,2862067599,2862067599,2862067599,2904174029,2018-02-22
2904174029,2904174029,2904174029,2904174029,2904174029,2904174029,2904174029,2902993284,2018-02-23
2902993284,2902993284,2902993284,2902993284,2902993284,2902993284,2902993284,2731335132,2018-02-24
2731335132,2731335132,2731335132,2731335132,2731335132,2731335132,2731335132,2928237876,2018-02-25
2928237876,2928237876,2928237876,2928237876,2928237876,2928237876,2928237876,3307259174,2018-02-26
3307259174,3307259174,3307259174,3307259174,3307259174,3307259174,3307259174,3415129333,2018-02-27
3415129333,3415129333,3415129333,3415129333,3415129333,3415129333,3415129333,3424852978,2018-02-28
3424852978,3424852978,3424852978,3424852978,3424852978,3424852978,3424852978,3341469487,2018-03-01
3341469487,3341469487,3341469487,3341469487,3341469487,3341469487,3341469487,3195921966,2018-03-02
3195921966,3195921966,3195921966,3195921966,3195921966,3195921966,3195921966,2759175147,2018-03-03
2759175147,2759175147,2759175147,2759175147,2759175147,2759175147,2759175147,2367212391,2018-03-04
2367212391,2367212391,2367212391,2367212391,2367212391,2367212391,2367212391,2338944424,2018-03-05
2338944424,2338944424,2338944424,2338944424,2338944424,2338944424,2338944424,2334088913,2018-03-06
2334088913,2334088913,2334088913,2334088913,2334088913,2334088913,2334088913,2196421318,2018-03-07
2196421318,2196421318,2196421318,2196421318,2196421318,2196421318,2196421318,2101177951,2018-03-08
2101177951,2101177951,2101177951,2101177951,2101177951,2101177951,2101177951,1997157205,2018-03-09
1997157205,1997157205,1997157205,1997157205,1997157205,1997157205,1997157205,1556485708,2018-03-10
1556485708,1556485708,1556485708,1556485708,1556485708,1556485708,1556485708,1413661842,2018-03-11
1413661842,1413661842,1413661842,1413661842,1413661842,1413661842,1413661842,1563824962,2018-03-12
1563824962,1563824962,1563824962,1563824962,1563824962,1563824962,1563824962,1754724216,2018-03-13
1754724216,1754724216,1754724216,1754724216,1754724216,1754724216,1754724216,1919149675,2018-03-14
1919149675,1919149675,1919149675,1919149675,1919149675,1919149675,1919149675,1939795559,2018-03-15
1939795559,1939795559,1939795559,1939795559,1939795559,1939795559,1939795559,2048947817,2018-03-16
2048947817,2048947817,2048947817,2048947817,2048947817,2048947817,2048947817,2280453910,2018-03-17
2280453910,2280453910,2280453910,2280453910,2280453910,2280453910,2280453910,2601227184,2018-03-18
2601227184,2601227184,2601227184,2601227184,2601227184,2601227184,2601227184,2967560637,2018-03-19
2967560637,2967560637,2967560637,2967560637,2967560637,2967560637,2967560637,2929441468,2018-03-20
2929441468,2929441468,2929441468,2929441468,2929441468,2929441468,2929441468,2802683930,2018-03-21
2802683930,2802683930,2802683930,2802683930,2802683930,2802683930,2802683930,2639401207,2018-03-22
2639401207,2639401207,2639401207,2639401207,2639401207,2639401207,2639401207,2365160992,2018-03-23
2365160992,2365160992,2365160992,2365160992,2365160992,2365160992,2365160992,1940669068,2018-03-24
1940669068,1940669068,1940669068,1940669068,1940669068,1940669068,1940669068,1908134367,2018-03-25
1908134367,1908134367,1908134367,1908134367,1908134367,1908134367,1908134367,2131691812,2018-03-26
2131691812,2131691812,2131691812,2131691812,2131691812,2131691812,2131691812,2079103265,2018-03-27
2079103265,2079103265,2079103265,2079103265,2079103265,2079103265,2079103265,1956509157,2018-03-28
1956509157,1956509157,1956509157,1956509157,1956509157,1956509157,1956509157,1954188103,2018-03-29
1954188103,1954188103,1954188103,1954188103,1954188103,1954188103,1954188103,1664035410,2018-03-30
1664035410,1664035410,1664035410,1664035410,1664035410,1664035410,1664035410,1644709492,2018-03-31
1644709492,1644709492,1644709492,1644709492,1644709492,1644709492,1644709492,1714239052,2018-04-01
1714239052,1714239052,1714239052,1714239052,1714239052,1714239052,1714239052,1605285674,2018-04-02
1605285674,1605285674,1605285674,1605285674,1605285674,1605285674,1605285674,1465016581,2018-04-03
1465016581,1465016581,1465016581,1465016581,1465016581,1465016581,1465016581,1361561412,2018-04-04
1361561412,1361561412,1361561412,1361561412,1361561412,1361561412,1361561412,1564532159,2018-04-05
1564532159,1564532159,1564532159,1564532159,1564532159,1564532159,1564532159,1579666979,2018-04-06
1579666979,1579666979,1579666979,1579666979,1579666979,1579666979,1579666979,1210444122,2018-04-07
1210444122,1210444122,1210444122,1210444122,1210444122,1210444122,1210444122,1080274709,2018-04-08
1080274709,1080274709,1080274709,1080274709,1080274709,1080274709,1080274709,1114459380,2018-04-09
1114459380,1114459380,1114459380,1114459380,1114459380,1114459380,1114459380,1119035708,2018-04-10
1119035708,1119035708,1119035708,1119035708,1119035708,1119035708,1119035708,1158741898,2018-04-11
1158741898,1158741898,1158741898,1158741898,1158741898,1158741898,1158741898,1087197594,2018-04-12
1087197594,1087197594,1087197594,1087197594,1087197594,1087197594,1087197594,1171663091,2018-04-13
1171663091,1171663091,1171663091,1171663091,1171663091,1171663091,1171663091,987999714,2018-04-14
987999714,987999714,987999714,987999714,987999714,987999714,987999714,973084500,2018-04-15
973084500,973084500,973084500,973084500,973084500,973084500,973084500,1143573243,2018-04-16
1143573243,1143573243,1143573243,1143573243,1143573243,1143573243,1143573243,1106856229,2018-04-17
1106856229,1106856229,1106856229,1106856229,1106856229,1106856229,1106856229,1003953546,2018-04-18
1003953546,1003953546,1003953546,1003953546,1003953546,1003953546,1003953546,905655154,2018-04-19
905655154,905655154,905655154,905655154,905655154,905655154,905655154,831279529,2018-04-20
831279529,831279529,831279529,831279529,831279529,831279529,831279529,699154297,2018-04-21
699154297,699154297,699154297,699154297,699154297,699154297,699154297,686349352,2018-04-22
686349352,686349352,686349352,686349352,686349352,686349352,686349352,887480074,2018-04-23
887480074,887480074,887480074,887480074,887480074,887480074,887480074,967628835,2018-04-24
967628835,967628835,967628835,967628835,967628835,967628835,967628835,1012228213,2018-04-25
1012228213,1012228213,1012228213,1012228213,1012228213,1012228213,1012228213,1206249404,2018-04-26
1206249404,1206249404,1206249404,1206249404,1206249404,1206249404,1206249404,1156276735,2018-04-27
1156276735,1156276735,1156276735,1156276735,1156276735,1156276735,1156276735,971176202,2018-04-28
971176202,971176202,971176202,971176202,971176202,971176202,971176202,836238904,2018-04-29
836238904,836238904,836238904,836238904,836238904,836238904,836238904,953332109,2018-04-30
953332109,953332109,953332109,953332109,953332109,953332109,953332109,1063822446,2018-05-01
1063822446,1063822446,1063822446,1063822446,1063822446,1063822446,1063822446,1208184536,2018-05-02
1208184536,1208184536,1208184536,1208184536,1208184536,1208184536,1208184536,1220013264,2018-05-03
1220013264,1220013264,1220013264,1220013264,1220013264,1220013264,1220013264,1117257960,2018-05-04
1117257960,1117257960,1117257960,1117257960,1117257960,1117257960,1117257960,865367545,2018-05-05
865367545,865367545,865367545,865367545,865367545,865367545,865367545,788459126,2018-05-06
788459126,788459126,788459126,788459126,788459126,788459126,788459126,865440635,2018-05-07
865440635,865440635,865440635,865440635,865440635,865440635,865440635,822422855,2018-05-08
822422855,822422855,822422855,822422855,822422855,822422855,822422855,794242866,2018-05-09
794242866,794242866,794242866,794242866,794242866,794242866,794242866,753560092,2018-05-10
753560092,753560092,753560092,753560092,753560092,753560092,753560092,857844405,2018-05-11
857844405,857844405,857844405,857844405,857844405,857844405,857844405,705441898,2018-05-12
705441898,705441898,705441898,705441898,705441898,705441898,705441898,712933136,2018-05-13
712933136,712933136,712933136,712933136,712933136,712933136,712933136,849231488,2018-05-14
849231488,849231488,849231488,849231488,849231488,849231488,849231488,905126577,2018-05-15
905126577,905126577,905126577,905126577,905126577,905126577,905126577,962385090,2018-05-16
962385090,962385090,962385090,962385090,962385090,962385090,962385090,998484617,2018-05-17
998484617,998484617,998484617,998484617,998484617,998484617,998484617,1022456229,2018-05-18
1022456229,1022456229,1022456229,1022456229,1022456229,1022456229,1022456229,878196716,2018-05-19
878196716,878196716,878196716,878196716,878196716,878196716,878196716,755201278,2018-05-20
755201278,755201278,755201278,755201278,755201278,755201278,755201278,710956756,2018-05-21
710956756,710956756,710956756,710956756,710956756,710956756,710956756,823228886,2018-05-22
823228886,823228886,823228886,823228886,823228886,823228886,823228886,822086610,2018-05-23
822086610,822086610,822086610,822086610,822086610,822086610,822086610,815138961,2018-05-24
815138961,815138961,815138961,815138961,815138961,815138961,815138961,775059432,2018-05-25
775059432,775059432,775059432,775059432,775059432,775059432,775059432,624418738,2018-05-26
624418738,624418738,624418738,624418738,624418738,624418738,624418738,608752453,2018-05-27
608752453,608752453,608752453,608752453,608752453,608752453,608752453,722693774,2018-05-28
722693774,722693774,722693774,722693774,722693774,722693774,722693774,737736513,2018-05-29
737736513,737736513,737736513,737736513,737736513,737736513,737736513,725711727,2018-05-30
725711727,725711727,725711727,725711727,725711727,725711727,725711727,609116576,2018-05-31
609116576,609116576,609116576,609116576,609116576,609116576,609116576,698760856,2018-06-01
698760856,698760856,698760856,698760856,698760856,698760856,698760856,640306217,2018-06-02
640306217,640306217,640306217,640306217,640306217,640306217,640306217,649257262,2018-06-03
649257262,649257262,649257262,649257262,649257262,649257262,649257262,762161607,2018-06-04
762161607,762161607,762161607,762161607,762161607,762161607,762161607,801322549,2018-06-05
801322549,801322549,801322549,801322549,801322549,801322549,801322549,767469712,2018-06-06
767469712,767469712,767469712,767469712,767469712,767469712,767469712,778313751,2018-06-07
778313751,778313751,778313751,778313751,778313751,778313751,778313751,757572900,2018-06-08
757572900,757572900,757572900,757572900,757572900,757572900,757572900,611366622,2018-06-09
611366622,611366622,611366622,611366622,611366622,611366622,611366622,609890259,2018-06-10
609890259,609890259,609890259,609890259,609890259,609890259,609890259,780759164,2018-06-11
780759164,780759164,780759164,780759164,780759164,780759164,780759164,839015677,2018-06-12
839015677,839015677,839015677,839015677,839015677,839015677,839015677,915417783,2018-06-13
915417783,915417783,915417783,915417783,915417783,915417783,915417783,888418300,2018-06-14
888418300,888418300,888418300,888418300,888418300,888418300,888418300,835438695,2018-06-15
835438695,835438695,835438695,835438695,835438695,835438695,835438695,691933825,2018-06-16
691933825,691933825,691933825,691933825,691933825,691933825,691933825,689432022,2018-06-17
689432022,689432022,689432022,689432022,689432022,689432022,689432022,821572983,2018-06-18
821572983,821572983,821572983,821572983,821572983,821572983,821572983,807471467,2018-06-19
807471467,807471467,807471467,807471467,807471467,807471467,807471467,764491966,2018-06-20
764491966,764491966,764491966,764491966,764491966,764491966,764491966,820227849,2018-06-21
820227849,820227849,820227849,820227849,820227849,820227849,820227849,899609509,2018-06-22
899609509,899609509,899609509,899609509,899609509,899609509,899609509,809952020,2018-06-23
809952020,809952020,809952020,809952020,809952020,809952020,809952020,841030504,2018-06-24
841030504,841030504,841030504,841030504,841030504,841030504,841030504,951009534,2018-06-25
951009534,951009534,951009534,951009534,951009534,951009534,951009534,902625009,2018-06-26
902625009,902625009,902625009,902625009,902625009,902625009,902625009,829138054,2018-06-27
829138054,829138054,829138054,829138054,829138054,829138054,829138054,813204309,2018-06-28
813204309,813204309,813204309,813204309,813204309,813204309,813204309,736796453,2018-06-29
736796453,736796453,736796453,736796453,736796453,736796453,736796453,611822096,2018-06-30
